(>Bin) or Part Name,Direction,Forced Assembly Strategy?,Forced Relative Overhang Position?,Direct Synthesis Firewall?,Extra 5' CPEC overlap bps,Extra 3' CPEC overlap bps
>vector_backbone,,,,,,
pS8c-vector_backbone,forward,,,,,
>nterm_sig_pep,,,,TRUE,,
BMC_nterm_sig_pep,forward,,,,,
ccmN_nterm_sig_pep,forward,,,,,
>gly_ser_linker,,,,,,
long_gly_ser_linker,forward,,,,,
short_gly_ser_linker,forward,,,,,
>GFPuv,,,,,,
GFPuv,forward,,,,,
>ssrA_tag_5prime,,Embed_in_primer_reverse,,TRUE,,
ssrA_tag_5prime,forward,Embed_in_primer_reverse,,,,
ssrA_tag_enhanced_5prime,forward,Embed_in_primer_reverse,,,,
>ssrA_tag_3prime,,Embed_in_primer_forward,,,,
ssrA_tag_3prime,forward,Embed_in_primer_forward,,,,
