PLATE ID,PLATE WELL,LIQUID TYPE,VOLUME (uL)
oligos_plate,A01,j5_00001_(gfpuv_sigpep_5prime)_pure_forward,800
oligos_plate,B01,j5_00002_(RBS)_(gfpuv_sigpep_5prime)_forward,800
oligos_plate,C01,j5_00003_(gfpuv_sigpep_5prime)_pure_reverse,800
oligos_plate,D01,j5_00004_(gfpuv_sigpep_5prime)_(gfpuv_sigpep_XhoI_silent)_reverse,800
oligos_plate,E01,j5_00005_(gfpuv_sigpep_middle)_pure_forward,800
oligos_plate,F01,j5_00006_(gfpuv_sigpep_middle)_forward,800
oligos_plate,G01,j5_00007_(gfpuv_sigpep_middle)_pure_reverse,800
oligos_plate,H01,j5_00008_(gfpuv_sigpep_middle)_(gfpuv_sigpep_BamHI_silent)_reverse,800
oligos_plate,A02,j5_00009_(gfpuv_sigpep_3prime)_pure_forward,800
oligos_plate,B02,j5_00010_(gfpuv_sigpep_3prime)_forward,800
oligos_plate,C02,j5_00011_(gfpuv_sigpep_3prime)_pure_reverse,800
oligos_plate,D02,j5_00012_(gfpuv_sigpep_3prime)_reverse,800
oligos_plate,E02,j5_00013_(pS8c-gfpuv_sig.pep_vector_backbone)_pure_forward,800
oligos_plate,F02,j5_00014_(pS8c-gfpuv_sig.pep_vector_backbone)_forward,800
oligos_plate,G02,j5_00015_(pS8c-gfpuv_sig.pep_vector_backbone)_pure_reverse,800
oligos_plate,H02,j5_00016_(pS8c-gfpuv_sig.pep_vector_backbone)_reverse,800
oligos_plate,A03,j5_00017_(umuD_tag)_pure_forward,800
oligos_plate,B03,j5_00018_(umuD_tag)_forward,800
oligos_plate,C03,j5_00019_(umuD_tag)_pure_reverse,800
oligos_plate,D03,j5_00020_(umuD_tag)_reverse,800
oligos_plate,E03,j5_00021_(pS8c-vector_backbone)_pure_forward,800
oligos_plate,F03,j5_00022_(ssrA_tag_3prime)_(pS8c-vector_backbone)_forward,800
oligos_plate,G03,j5_00023_(pS8c-vector_backbone)_pure_reverse,800
oligos_plate,H03,j5_00024_(pS8c-vector_backbone)_(BMC_nterm_sig_pep)_reverse,800
oligos_plate,A04,j5_00025_(GFPuv)_pure_forward,800
oligos_plate,B04,j5_00026_(long_gly_ser_linker)_(GFPuv)_forward,800
oligos_plate,C04,j5_00027_(GFPuv)_pure_reverse,800
oligos_plate,D04,j5_00028_(GFPuv)_(ssrA_tag_5prime)_reverse,800
oligos_plate,E04,j5_00029_(GFPuv)_(ssrA_tag_enhanced_5prime)_reverse,800
oligos_plate,F04,j5_00030_(short_gly_ser_linker)_(GFPuv)_forward,800
oligos_plate,G04,j5_00031_(pS8c-vector_backbone)_(ccmN_nterm_sig_pep)_reverse,800
